comment,True_Label,Predict
Shop phục vụ rất tốt.Tuy nhiên shop rep tin nhắn chậm.Lần sau khắc phục tốt hơn.,2,2
Chất bí.,2,2
Tuy nhiên phí gui hơi cao.,3,3
"Màu 1 rất rất sáng đó =))) ai da trắng nên dùng màu 2, ngăm dùng màu 3.",5,5
Quần ko có dây thun điều chỉnh nên hơi bất tiện.,3,3
"Sản phẩm đẹp, mặc ôm.",5,5
Chất lượng các mặt hàng khác Ok.,5,5
Kiểu dáng y hệt hình nhưng chất vải k mát lắm.,3,3
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn túi đẹp và dùng rất ổn :D.,5,5
"Chất lượng sản phẩm tốt, giá hợp lý.",4,4
Được cái mua ba cái quần mà shop để có hai cái cũng thấy buồn.,5,5
Giao sai màu.,2,2
"Chán, Trước khi mua thì kiến đầy, Mua về chưa dùng thì kiến nó trốn hết. =)) Chắc nó ngửi thấy mùi SP.",1,1
"Hộp bị hư, đóng gói không chất lượng bù lại hình rất đẹp.",5,5
Áo siêu đẹp.,5,5
Mặc vẫn xinhhhhhhhhhh.,4,4
Đường chỉ may cả 2 bên cánh tay đều bị lỗi.,3,3
Chất lượng sản phẩm tuyệt vời.thanks shop khi tư vấn thêm thank nối giảm bớt chi phí khi hạ sz.,5,5
Quần đẹp lắm ạ.,5,5
Là lần đầu tiên gặp dược shop bán hàng chất lượng và đẹp..,4,4
Vừa túi tiền.,3,3
Bận mấy nay k rep tn shop nhưng mà shop nhiệt tình gọi đt nữa.,3,3
Shop phục vụ kh rất nhiệt tình nhé.,5,5
Dễ thương xỉu.,5,5
Đóng gói sản phẩm rất đẹp và chắc chắn.,5,5
Mà ưng đến thế.,5,5
Ưng hết nấc.,5,5
"hàng dày dặn, co dãn, mặc rất thích.",4,5
Chất lượng tốt -đáng giá tiền - giao hàng nhanh -.,5,5
"Áo chất ổn, vải mát, size M hơi dài chút, giao hàng nhanh so với mình nghĩ shop tư vấn rất nhiệt tình 😍.",4,4
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Shop phục vụ rất tốt Rất đáng tiền đẹp lắm ạ.,5,5
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Rất đáng tiền Rất đáng tiền Thời gian giao hàng rất nhanh Shop phục vụ rất tốt Shop phục vụ rất tốt.,5,5
Mở ra hộp rách seal móp méo.,1,1
Áo màu không giống hình form nhỏ.,2,2
Cơ mà vẫn ok.,5,5
Áo vải đẹp.,5,5
Màu son cam cháy rất đẹp.,5,5
"Áo cầm lên cảm giác mát, mịn, ngoại trừ áo hơi ngắn ( sẽ đánh giá lại sau khi giặt).",4,4
Shop gói hàng rất cẩn thận.,4,5
Đóng gói sản phẩm chắc chắn Chất lượng sản phẩm tốt Nhưng hơn mỏng.,4,4
Đóng gói sản phẩm rất đẹp và chắc chắn.,4,5
Sp đẹp và chất lượng.,5,5
Chất lượng sản phẩm ổn.,4,4
"Vải mỏng, đường chỉ may lôm côm.",1,1
Chủ shop tư vấn nhiệt tình nữa.,5,5
"Hàng chuẩn hình, giá hợp lý :D cảm ơn shop nhé!",5,5
Áo chữ nga quá rộng và dài.,1,1
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn shop phụ vụ rat chu đáo cảm ơn món quà nhỏ của shop.,5,5
"Shop phục vụ rất tốt, tư vấn nhiệt tình, đóng gói hàng chu đáo và ship rất nhanh.",5,5
Đóng gói sản phẩm rất đẹp và chắc chắn. rat tủyet.,5,5
"Áo cực đẹp luôn shop ạ, giá lại rẻ ^^.",5,5
Chất lượng sản phẩm tuyệt vời Rất đáng tiền.,5,5
Mình hài lòng với sản phẩm.,5,5
Đã vậy quần còn siêu ưng luôn hehehe.,5,5
Áo rất nhỏ hơi thất vọng vì mình đã nhắn báo số kg mà shop ko nhiệt tình tư vấn.,1,1
Biết đẹp thế mình mua thêm cái màu đỏ nữa 😊😊😊😊.,5,5
Nói chung rất ok.,4,5
Nhỏ quá.,2,5
Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt Thời gian giao hàng nhanh.,4,4
Chất lượng sản phẩm rất kém Đóng gói sản phẩm rất đẹp và chắc chắn.,1,1
Chất lượng sản phẩm tuyệt vời cam on shopii.,5,5
giao hàng quá lâu áo khá là to.,2,2
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn form đẹp vải ok.,5,5
Sẽ còn ủng hộ shop.,5,5
E nhận được hàng r nha shop 💕💕 sp đẹp lắm nha.,5,5
"Loa đẹp, chất âm khá.",4,4
Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh .,4,5
Thank shop Chất lượng sản phẩm tuyệt vời.,4,5
Nhưng tất nhiên chất vải không đồng đều lắm.,2,2
Đúng là đóng gói hơi sơ sài.,1,1
mau thi giong hinh nhug hog dep nhu hih.noi chug chi dc 50 phan tram trog hih thui.,3,3
